,도서명,출판사,저자,역자,발행일,페이지,가격
9791162540770,데스 바이 아마존,비즈니스북스,시로타 마코토,신희원,2019-04-15,272,15000 
9791188850549,4주 만에 완성하는 레깅스핏 스트레칭,북라이프,모리 다쿠로,김현정,2019-04-11,132,13000 
9791188850518,왕이 된 남자 2,북라이프,김선덕,,2019-04-10,388,14000 
9791188850501,왕이 된 남자 1,북라이프,김선덕,,2019-04-10,440,14000 
9791162540756,새벽에 읽는 유대인 인생 특강,비즈니스북스,장대은,,2019-04-10,280,15000 
9791188850471,왕이 된 남자 포토에세이,북라이프,스튜디오 드래곤,,2019-04-10,368,25000 
9791162540732,오토노미 제2의 이동 혁명,비즈니스북스,로렌스 번스 -  크리스토퍼 슐건,김현정,2019-03-31,536,22000 
9791162540718,쓴다 쓴다 쓰는 대로 된다,비즈니스북스,후루카와 다케시,유나현,2019-03-30,232,13000 
9791162540695,머니패턴,비즈니스북스,이요셉 -  김채송화,,2019-03-25,264,15000 
9791162540671,1日 1行의 기적,비즈니스북스,유근용,,2019-03-20,500,13800 
9791188850440,오늘도 울컥하고 말았습니다,북라이프,정민지,,2019-03-15,248,13800 
9791188850426,엘리트 제국의 몰락,북라이프,미하엘 하르트만,이덕임,2019-02-27,376,16800 
9791162540640,아주 작은 습관의 힘,비즈니스북스,제임스 클리어,이한이,2019-02-26,360,16000 
9791186805398,그릿 GRIT(100쇄 기념 리커버 에디션),비즈니스북스,앤절라 더크워스,김미정,2019-02-20,416,16000 
9791162540619,일단 오늘 한 줄 써봅시다,비즈니스북스,김민태,,2019-02-15,252,14000 
9791162540596,뉴파워 - 새로운 권력의 탄생,비즈니스북스,제러미 하이먼즈 -  헨리 팀스,홍지수,2019-01-30,456,18000 
9791188850402,잊지 않고 남겨두길 잘했어,북라이프,이유미,,2019-01-29,252,13500 
9791188850389,아이의 뇌에 상처 입히는 부모들,북라이프,도모다 아케미,이은미,2019-01-28,240,13800 
9791162540572,어떻게 팔지 답답할 때 읽는 마케팅 책,비즈니스북스,리처드 쇼튼,이진원,2019-01-18,280,15000 
9791162540558,서른과 마흔 사이 나를 되돌아볼 시간,비즈니스북스,미리암 프리스,박지희,2019-01-10,316,15800 
9791188850365,먹고사는 게 전부가 아닌 날도 있어서,북라이프,노지양,,2018-12-25,256,13500 
9791188850341,선생님 -  저 우울증인가요?,북라이프,오카다 다카시,김현정,2018-12-20,272,14800 
9791162540527,관계의 품격,비즈니스북스,오노코로 신페이,유나현,2018-12-15,232,13500 
9791188850327,백년 두뇌,북라이프,하세가와 요시야,조해선,2018-11-29,236,14000 
9791162540503,세계미래보고서 2019,비즈니스북스,박영숙 -  제롬 글렌,이희령,2018-11-24,376,16500 
9791188850303,진정한 나로 살아갈 용기,북라이프,브레네 브라운,이은경,2018-11-23,228,13500 
9791188850280,반려견 증상 상식 사전,북라이프,김보윤,,2018-11-15,232,14800 
9791188850266,나를 사랑하는 일에 서툰 당신에게,북라이프,안정현(마음달),,2018-10-31,240,14000 
9791162540480,대한민국 주식투자자를 위한 완벽한 재무제표 읽기,비즈니스북스,이강연,,2018-10-30,464,20000 
